ID,RAdeg,DECdeg,Hmag,PhotFlag,Class_star,AGNflag,zphot,zspec,q_zspec,r_zspec,zbest,zphot_l68,zphot_u68,zphot_l95,zphot_u95,zAGN,M_neb_med,s_neb_med,M_med,s_med,M_14a_cons,M_11a_tau,M_6a_tau^NEB,M_13a_tau,M_12a_tau,M_6a_tau,M_2a_tau,M_15a,M_10c,M_14a_lin,M_14a_deltau,M_14a_tau,M_14a_inctau,M_14a,M_neb_med_lin,s_neb_med_lin,M_med_lin,s_med_lin
10290,215.1475182,53.0118596,26.0921,0,0.95,0,7.603,-99.0,-99,-99,7.603,0.79,3.94,0.36,5.76,-99.0,8.4299,0.749151,9.17961,0.281419,9.5026,8.06037,8.42991,9.26,9.2958,8.68664,0.0,9.15281,9.01,9.32929,9.38922,9.50913,9.42201,9.32929,9.217,0.78269,9.09027,0.17917
10291,214.9337392,52.8610203,26.5313,0,0.37,0,1.448,-99.0,-99,-99,1.448,0.8,2.69,0.29,3.22,-99.0,7.2993,0.397406,7.76277,0.208127,7.7718,7.45989,6.98272,8.13,7.8096,7.57875,7.745,7.68689,7.74,7.63942,7.6885,7.81141,7.72885,7.63942,7.53616,0.31545,7.7488,0.27827
10294,215.1113656,52.9866499,26.149,0,0.37,0,2.459,-99.0,-99,-99,2.459,1.55,2.72,0.98,2.93,-99.0,8.4754,0.210156,8.7616,0.268174,8.2654,8.6854,8.48954,8.86,8.8102,8.54949,9.208,8.566,8.69,8.0871,8.18182,8.3178,8.20097,8.26551,8.52431,0.19598,8.73742,0.37514
10295,214.8505843,52.8014143,23.9133,0,0.0,0,1.695,-99.0,-99,-99,1.695,1.43,1.61,1.36,1.75,-99.0,9.442,0.057532,9.46432,0.100865,9.3756,9.49022,9.44201,9.55,9.2852,9.46494,9.503,9.42563,9.39,9.26957,9.39743,9.41979,9.36542,9.41979,9.44201,0.05635,9.44573,0.08681
10299,214.9734597,52.8892526,26.7833,0,0.35,0,1.993,-99.0,-99,-99,1.993,0.76,2.59,0.33,5.11,-99.0,8.1514,0.510017,8.6552,0.190857,8.3267,8.44424,7.50799,8.71,8.6552,8.56961,8.926,8.40608,8.29,8.19663,8.26312,8.40644,8.30047,8.40644,8.1908,0.26052,8.68346,0.25063
10300,215.0899661,52.9708911,23.2828,0,0.19,1,1.945,-99.0,-99,-99,1.945,1.99,2.67,1.73,2.74,1.45,9.8374,0.140663,9.65244,0.16753,9.7007,9.89514,9.974,9.87,9.6599,9.43489,9.509,9.6631,10.1,9.76467,9.73748,9.74313,9.7093,9.74313,9.85851,0.13414,9.6615,0.17284
10302,215.070123,52.9569519,23.901,0,0.0,0,2.217,-99.0,-99,-99,2.217,2.09,2.31,1.9,2.36,-99.0,9.2905,0.144975,9.46602,0.122588,9.2261,9.5031,9.29048,9.6,9.3105,9.33203,9.518,9.4404,9.35,9.11574,9.15578,9.34097,9.20738,9.34097,9.38631,0.14291,9.43073,0.11688
10304,215.2368608,53.0734671,22.7046,2,0.0,0,1.548,-99.0,-99,-99,1.548,1.49,1.71,1.42,1.84,-99.0,10.4812,0.127639,10.4691,0.107066,10.2699,10.4997,10.4812,10.52,10.3622,10.4691,10.612,10.3619,10.19,10.1419,-99.0,10.3902,10.2571,10.3902,10.3998,0.12358,10.4588,0.11106
10307,215.1618508,53.0220618,25.8001,0,0.03,0,1.931,-99.0,-99,-99,1.931,0.95,2.67,0.37,3.17,-99.0,8.9351,0.116091,9.04414,0.167202,8.8339,9.03378,9.03623,9.08,8.9628,9.12548,9.356,8.93652,8.79,8.72096,8.77112,8.8602,8.79579,8.8602,8.94676,0.11387,9.10334,0.1941
10308,214.9433776,52.8679452,25.9788,0,0.35,0,1.299,-99.0,-99,-99,1.299,1.12,2.22,0.78,2.62,-99.0,7.9406,0.083222,8.10246,0.174187,7.858,7.95813,8.02325,8.24,7.982,7.94782,8.327,7.98502,7.86,7.71855,7.75404,7.87143,7.8138,7.85814,7.95813,0.08002,8.17754,0.18332
